// Localization Table
// Language: Simplified Chinese
[Info]
version = 2
guid = b73aa63e-6286-4c32-9e48-3b0024c22b51
language = CN
translator =  HenryFishYu,Jeff,HansKaffee,TwilightRain,moonlight-pz,Susan Admason（Canada),L'Etranger,天冷就要吃火锅,轻轻的晚风,格兰瑞敌击剑,湖畔镇一枝花,Livia,Flying Penguin,AZ,taoran
[/Info]
 
[Translations]

//0. ORIGINAL [#FF8080FF]: This is Jackie Jaye reporting for LBMW...
576674c7-6cbf-4ec5-a3e9-7d8269fc44b8 = 这里是来自LBMW电台的记者杰基·杰伊...

//1. ORIGINAL [#FF8080FF]: ... here at the military blockade to the north of the Exclusion Zone.
44d6bbb2-1d90-4e39-a19c-5e8e5f63d2c6 = ...我们现在在位于隔离区北面的军队封锁区域.

//2. ORIGINAL [#FF8080FF]: It's a scene of drama, anger and confusion here.
cb8d710e-0fc8-4349-a1e6-006483fd65ae = 这里正上演着愤怒,疯狂和戏剧性的一幕.

//3. ORIGINAL [#FF8080FF]: We've got folks turning up trying to get through.
a4fde7a4-9bb2-467f-8467-85d12475560a = 我们能看到有很多平民来到这里并尝试通过.

//4. ORIGINAL [#FF8080FF]: And standing in their way are guys in camo.
b7530e27-031e-457c-ab83-0f9ed3878463 = 而阻挡在他们面前的是那些穿着迷彩服的的人.

//5. ORIGINAL [#FF8080FF]: US Army recruits who four days ago were waiting to ship out overseas from local military bases...
e50ed454-bc93-42b1-ae0e-4c2f1ff557cf = 这些美军新兵四天前正在当地的军事基地等待着向海外部署...

//6. ORIGINAL [#FF8080FF]: ... but who are now checkpoint guards around their former home.
482c43cb-8a52-4b7a-9fe9-8d02fefa6976 = ...但是现在他们却成了检查点周围的守卫.

//7. ORIGINAL [#FF8080FF]: And still no word on the condition of those inside the Zone!
7c74acbe-95e1-495c-afc9-e13ff0866c59 = 目前依然没有任何隔离区内的消息！

//8. ORIGINAL [#FF8080FF]: We know there's something like an influenza virus in there...
d8b25dfb-142c-4403-be92-bd78cc865ec1 = 我们得知隔离区内出现了一种类似流感的病毒...

//9. ORIGINAL [#FF8080FF]: ... but it's localized.
c443917d-7e77-4d86-9e6b-fbe95c79cb98 = ...但是目前这种病毒只在隔离区内传播.

//10. ORIGINAL [#FF8080FF]: There's just a handful of reports of strange behaviors.
17177d56-19ef-44f6-8fa2-36be6bb0ec0d = 同时有极少数有关奇怪行为的报告.

//11. ORIGINAL [#FF8080FF]: Panic, confusion...
60e7c2f7-38a9-4d95-9430-7cddfbf437e5 = 恐慌和困惑正在弥漫...

